<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;25/04/17;000000;1.0867000;1.0950000;1.0849000;1.0925100
EURUSD;D;26/04/17;000000;1.0924500;1.0950900;1.0855000;1.0903200
EURUSD;D;27/04/17;000000;1.0902900;1.0932900;1.0849000;1.0872200
EURUSD;D;28/04/17;000000;1.0871100;1.0947500;1.0855000;1.0892600
EURUSD;D;29/04/17;000000;1.0892000;1.0893200;1.0892000;1.0893200
EURUSD;D;30/04/17;000000;1.0898000;1.0917000;1.0893100;1.0910000
EURUSD;D;01/05/17;000000;1.0910100;1.0924100;1.0882900;1.0898100
EURUSD;D;02/05/17;000000;1.0898200;1.0933200;1.0886000;1.0928000
EURUSD;D;03/05/17;000000;1.0928300;1.0937000;1.0880000;1.0883600
EURUSD;D;04/05/17;000000;1.0883600;1.0987300;1.0873000;1.0984300
EURUSD;D;05/05/17;000000;1.0983600;1.1000000;1.0947100;1.0996000
EURUSD;D;06/05/17;000000;1.0996000;1.0996000;1.0994000;1.0995000
EURUSD;D;07/05/17;000000;1.0997000;1.1022200;1.0995000;1.1017000
EURUSD;D;08/05/17;000000;1.1019000;1.1023500;1.0915000;1.0923700
EURUSD;D;09/05/17;000000;1.0923200;1.0933500;1.0861000;1.0873000
EURUSD;D;10/05/17;000000;1.0871500;1.0898200;1.0851000;1.0866300
EURUSD;D;11/05/17;000000;1.0865400;1.0893100;1.0837000;1.0860700
EURUSD;D;12/05/17;000000;1.0858500;1.0934300;1.0854000;1.0928000
EURUSD;D;13/05/17;000000;1.0929000;1.0929600;1.0926000;1.0926000
EURUSD;D;14/05/17;000000;1.0921000;1.0930400;1.0920000;1.0929600
EURUSD;D;15/05/17;000000;1.0929200;1.0990000;1.0920000;1.0975200
EURUSD;D;16/05/17;000000;1.0974300;1.1097400;1.0971000;1.1082400
EURUSD;D;17/05/17;000000;1.1081300;1.1162200;1.1077500;1.1158500
EURUSD;D;18/05/17;000000;1.1157300;1.1174300;1.1074000;1.1103000
EURUSD;D;19/05/17;000000;1.1100900;1.1212200;1.1094000;1.1205600
EURUSD;D;20/05/17;000000;1.1202000;1.1206000;1.1202000;1.1204000
EURUSD;D;21/05/17;000000;1.1198000;1.1206500;1.1183000;1.1192200
EURUSD;D;22/05/17;000000;1.1194500;1.1263500;1.1159000;1.1236700
EURUSD;D;23/05/17;000000;1.1237000;1.1268300;1.1172000;1.1181700
EURUSD;D;24/05/17;000000;1.1180800;1.1220100;1.1166000;1.1217600
EURUSD;D;25/05/17;000000;1.1217900;1.1250400;1.1192700;1.1209800
EURUSD;D;26/05/17;000000;1.1209800;1.1234700;1.1159000;1.1181000
EURUSD;D;27/05/17;000000;1.1182000;1.1182000;1.1177000;1.1177000
EURUSD;D;28/05/17;000000;1.1180900;1.1180900;1.1165000;1.1169100
EURUSD;D;29/05/17;000000;1.1177100;1.1190000;1.1159000;1.1162100
EURUSD;D;30/05/17;000000;1.1164900;1.1205500;1.1107000;1.1186000
EURUSD;D;31/05/17;000000;1.1186000;1.1252300;1.1162000;1.1243100
EURUSD;D;01/06/17;000000;1.1243200;1.1256800;1.1200000;1.1212400
EURUSD;D;02/06/17;000000;1.1212100;1.1285100;1.1203000;1.1282500
EURUSD;D;03/06/17;000000;1.1282500;1.1282500;1.1279000;1.1279000
EURUSD;D;04/06/17;000000;1.1273000;1.1282000;1.1268000;1.1271000
EURUSD;D;05/06/17;000000;1.1271000;1.1283900;1.1233000;1.1254100
EURUSD;D;06/06/17;000000;1.1254000;1.1284300;1.1238000;1.1276200
EURUSD;D;07/06/17;000000;1.1274900;1.1282600;1.1202000;1.1255600
EURUSD;D;08/06/17;000000;1.1255600;1.1270000;1.1194000;1.1214000
EURUSD;D;09/06/17;000000;1.1211900;1.1237100;1.1164000;1.1194200
EURUSD;D;10/06/17;000000;1.1194200;1.1194200;1.1194000;1.1194000
EURUSD;D;11/06/17;000000;1.1198000;1.1213000;1.1191000;1.1207000
EURUSD;D;12/06/17;000000;1.1206700;1.1232200;1.1190200;1.1202200
EURUSD;D;13/06/17;000000;1.1200300;1.1225000;1.1183200;1.1210200
EURUSD;D;14/06/17;000000;1.1209400;1.1296000;1.1192000;1.1216400
EURUSD;D;15/06/17;000000;1.1216400;1.1228600;1.1130000;1.1143700
