<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURRUB;D;26/08/14;000000;47.6980000;47.7600000;47.5331000;47.5700000
EURRUB;D;27/08/14;000000;47.5710000;47.7930000;47.3520000;47.6790000
EURRUB;D;28/08/14;000000;47.7030000;48.6050000;47.5530000;48.4812000
EURRUB;D;29/08/14;000000;48.4920000;48.9500000;48.2090000;48.6771000
EURRUB;D;30/08/14;000000;48.6160000;48.7070000;48.4340000;48.6690000
EURRUB;D;01/09/14;000000;48.6401000;49.2730000;48.5952000;48.9180000
EURRUB;D;02/09/14;000000;48.9910000;49.1890000;48.8730000;49.1460000
EURRUB;D;03/09/14;000000;49.1490000;49.1840000;48.2014000;48.3670000
EURRUB;D;04/09/14;000000;48.4210000;48.6530000;47.7570000;47.8850000
EURRUB;D;05/09/14;000000;47.8770000;48.2160000;47.4980000;47.7220000
EURRUB;D;06/09/14;000000;47.7630000;47.8630000;47.6460000;47.7610000
EURRUB;D;07/09/14;000000;47.7710000;47.7780000;47.7110000;47.7750000
EURRUB;D;08/09/14;000000;47.7760000;48.1240000;47.6640000;47.7760000
EURRUB;D;09/09/14;000000;47.8050000;48.0690000;47.5590000;47.9921000
EURRUB;D;10/09/14;000000;47.9977000;48.4270000;47.8270000;48.1460000
EURRUB;D;11/09/14;000000;48.1480000;48.6830000;48.0370000;48.4764000
EURRUB;D;12/09/14;000000;48.5680000;49.1360000;48.3360000;48.8750000
EURRUB;D;13/09/14;000000;49.0490000;49.0490000;48.8070000;48.9640000
EURRUB;D;14/09/14;000000;48.9470000;48.9470000;48.9470000;48.9470000
EURRUB;D;15/09/14;000000;49.0080000;49.7340000;48.8310000;49.6570000
EURRUB;D;16/09/14;000000;49.6800000;50.3240000;49.4610000;49.6280000
EURRUB;D;17/09/14;000000;49.6224000;49.9420000;49.3150000;49.4700000
EURRUB;D;18/09/14;000000;49.4700000;49.7580000;49.2620000;49.6700000
EURRUB;D;19/09/14;000000;49.5900000;49.7363000;49.2480000;49.2870000
EURRUB;D;20/09/14;000000;49.3250000;49.3450000;49.2100000;49.3000000
EURRUB;D;22/09/14;000000;49.2981000;49.7740000;49.2700000;49.7100000
EURRUB;D;23/09/14;000000;49.7270000;49.8330000;49.5590000;49.6140000
EURRUB;D;24/09/14;000000;49.6130000;49.6290000;48.7360000;48.7790000
EURRUB;D;25/09/14;000000;48.7780000;49.1140000;48.7020000;49.0200000
EURRUB;D;26/09/14;000000;49.0600000;49.8020000;49.0020000;49.6600000
EURRUB;D;27/09/14;000000;49.6640000;49.6800000;49.5460000;49.6640000
EURRUB;D;29/09/14;000000;49.6859000;50.2230000;49.4700000;50.0440000
EURRUB;D;30/09/14;000000;50.0620000;50.1900000;49.6176000;49.9790000
EURRUB;D;01/10/14;000000;50.0040000;50.2110000;49.5820000;50.0500000
EURRUB;D;02/10/14;000000;50.0340000;50.2720000;49.8130000;50.0390000
EURRUB;D;03/10/14;000000;50.1220000;50.2750000;49.8540000;50.0220000
EURRUB;D;04/10/14;000000;50.0240000;50.2250000;50.0030000;50.2170000
EURRUB;D;06/10/14;000000;50.0063000;50.3290000;49.9650000;50.2100000
EURRUB;D;07/10/14;000000;50.2110000;50.6380000;49.9680000;50.4960000
EURRUB;D;08/10/14;000000;50.4810000;51.0700000;50.2800000;50.9050000
EURRUB;D;09/10/14;000000;50.9410000;51.0660000;50.6460000;50.8520000
EURRUB;D;10/10/14;000000;50.8340000;51.1600000;50.7580000;50.8720000
EURRUB;D;11/10/14;000000;50.8990000;51.0070000;50.8400000;51.0050000
EURRUB;D;12/10/14;000000;50.9580000;50.9580000;50.9580000;50.9580000
EURRUB;D;13/10/14;000000;50.9611000;51.4010000;50.8000000;51.3890000
EURRUB;D;14/10/14;000000;51.3880000;51.8180000;51.2870000;51.7670000
EURRUB;D;15/10/14;000000;51.8100000;52.2210000;51.5030000;51.7900000
EURRUB;D;16/10/14;000000;51.7490000;52.5450000;51.3920000;52.3165000
EURRUB;D;17/10/14;000000;52.2730000;52.6290000;51.7450000;51.9415000
EURRUB;D;18/10/14;000000;51.9640000;52.0650000;51.8660000;51.8980000
EURRUB;D;20/10/14;000000;51.8730000;52.5920000;51.8080000;52.5370000
EURRUB;D;21/10/14;000000;52.5370000;52.6900000;51.9940000;52.0250000
EURRUB;D;22/10/14;000000;52.0220000;52.3990000;51.9190000;52.3010000
EURRUB;D;23/10/14;000000;52.3290000;52.8640000;51.8852000;52.6940000
EURRUB;D;24/10/14;000000;52.7660000;53.2240000;52.6180000;53.0570000
EURRUB;D;25/10/14;000000;53.0380000;53.1590000;52.9650000;53.1590000
EURRUB;D;26/10/14;000000;53.0420000;53.0420000;53.0420000;53.0420000
EURRUB;D;27/10/14;000000;53.1146000;53.7660000;52.9040000;53.6370000
EURRUB;D;28/10/14;000000;53.6450000;54.1830000;53.5340000;54.0360000
EURRUB;D;29/10/14;000000;54.0340000;54.7340000;53.9370000;54.5130000
EURRUB;D;30/10/14;000000;54.5610000;55.1340000;51.8550000;52.4680000
EURRUB;D;31/10/14;000000;52.3020000;54.1460000;52.0590000;53.8429000
EURRUB;D;01/11/14;000000;53.9430000;53.9450000;53.8571000;53.9450000
EURRUB;D;03/11/14;000000;53.9223000;54.4860000;53.7280000;54.4470000
EURRUB;D;04/11/14;000000;54.4460000;54.8910000;54.2650000;54.6675000
EURRUB;D;05/11/14;000000;54.6710000;56.3033000;54.5930000;56.0520000
EURRUB;D;06/11/14;000000;56.0590000;58.1130000;55.9400000;57.9460000
EURRUB;D;07/11/14;000000;57.9510000;60.2340000;56.4070000;58.1331000
EURRUB;D;08/11/14;000000;58.2410000;58.2820000;58.1154000;58.2390000
EURRUB;D;10/11/14;000000;57.1496000;57.3850000;56.0970000;57.0150000
EURRUB;D;11/11/14;000000;56.8560000;58.3400000;56.6812000;57.8385000
EURRUB;D;12/11/14;000000;57.9390000;58.0600000;56.6240000;56.9626000
EURRUB;D;13/11/14;000000;56.9660000;58.4460000;54.6263000;58.3060000
EURRUB;D;14/11/14;000000;58.4470000;59.5100000;57.8950000;59.1940000
EURRUB;D;15/11/14;000000;59.2010000;59.2070000;59.1690000;59.1930000
EURRUB;D;16/11/14;000000;59.1160000;59.2380000;59.1160000;59.2380000
EURRUB;D;17/11/14;000000;59.2380000;59.4920000;58.5590000;58.6940000
EURRUB;D;18/11/14;000000;58.6920000;58.8760000;58.1220000;58.7801000
EURRUB;D;19/11/14;000000;58.7210000;59.0390000;58.3585000;58.6630000
EURRUB;D;20/11/14;000000;58.7230000;58.8250000;57.7940000;57.8270000
EURRUB;D;21/11/14;000000;57.8570000;58.2380000;56.2210000;56.5960000
EURRUB;D;22/11/14;000000;56.6250000;56.8110000;56.5520000;56.8110000
EURRUB;D;24/11/14;000000;55.3460000;56.0410000;55.2410000;55.9100000
EURRUB;D;25/11/14;000000;55.9080000;57.8270000;55.3860000;57.6750000
EURRUB;D;26/11/14;000000;57.6800000;59.3050000;57.3800000;59.2941000
EURRUB;D;27/11/14;000000;59.3160000;61.4430000;58.2520000;61.4300000
EURRUB;D;28/11/14;000000;61.4290000;62.9240000;60.5185000;62.7490000
EURRUB;D;29/11/14;000000;62.7590000;62.8030000;62.5590000;62.5680000
EURRUB;D;01/12/14;000000;63.0220000;67.1480000;62.9960000;63.8331000
EURRUB;D;02/12/14;000000;63.8213000;67.2550000;62.8340000;66.6623000
EURRUB;D;03/12/14;000000;67.0760000;67.8600000;64.6980000;65.2640000
EURRUB;D;04/12/14;000000;65.8231000;67.8060000;64.0426000;67.3306000
EURRUB;D;05/12/14;000000;67.3470000;67.3900000;64.4750000;64.6680000
EURRUB;D;06/12/14;000000;64.7430000;65.0590000;64.7320000;65.0590000
EURRUB;D;07/12/14;000000;65.0350000;65.0580000;65.0350000;65.0490000
EURRUB;D;08/12/14;000000;65.0490000;66.4205000;64.6150000;66.1900000
EURRUB;D;09/12/14;000000;66.1470000;67.4730000;65.6660000;66.9354000
EURRUB;D;10/12/14;000000;66.9530000;68.2640000;66.8233000;68.2620000
EURRUB;D;11/12/14;000000;68.2720000;69.8910000;67.8470000;69.8910000
EURRUB;D;12/12/14;000000;69.9970000;72.9320000;69.7302000;72.4890000
EURRUB;D;13/12/14;000000;72.4940000;72.5350000;72.4500000;72.5350000
EURRUB;D;15/12/14;000000;72.6280000;82.1180000;71.7140000;81.9560000
EURRUB;D;16/12/14;000000;81.9370000;97.9070000;72.7193000;88.2480000
EURRUB;D;17/12/14;000000;86.1880000;88.6780000;74.2290000;75.6200000
EURRUB;D;18/12/14;000000;75.8370000;78.5170000;71.4281000;75.5330000
EURRUB;D;19/12/14;000000;75.9740000;77.5109000;71.4950000;74.0606000
EURRUB;D;20/12/14;000000;72.8560000;74.0624000;72.3800000;72.8770000
EURRUB;D;22/12/14;000000;72.8360000;72.9790000;66.1940000;68.1185000
EURRUB;D;23/12/14;000000;68.2870000;69.7230000;64.6800000;66.3088000
EURRUB;D;24/12/14;000000;66.2979000;67.7302000;64.9930000;65.5240000
EURRUB;D;25/12/14;000000;65.5240000;66.1210000;62.2171000;64.1680000
EURRUB;D;26/12/14;000000;64.1650000;66.6234000;62.2598000;65.2402000
EURRUB;D;27/12/14;000000;65.2580000;65.8730000;65.1310000;65.8730000
